original,grupo
Administrativo,Administrativo
Adriana,Adriana
Analista I - WC,Analista I - WC
Atendimento,Atendimento
Atendimento Especializado,Atendimento Especializado
Atendimento WEB,Atendimento WEB
Atendo a Fila de Cartões em geral e FGTS.,Atendo a Fila de Cartões em geral e FGTS.
CARTAO GERAL CAIXA,CARTAO GERAL CAIXA
CARTÃO DE CRÉDITO DA CAIXA ( CARTÕES ).,CARTÃO DE CRÉDITO DA CAIXA ( CARTÕES ).
CARTÃO GERAL,CARTÃO GERAL
CARTÃO ULTRA,CARTÃO ULTRA
CARTÕES,CARTÕES
CARTÕES GERAIS E ULTRA,CARTÕES GERAIS E ULTRA
CIDADÃO,CIDADÃO
Callcenter,Callcenter
Cartoes,Cartões
Cartão,Cartões
Cartão de crédito,Cartões
Cartõed,Cartões
Cartões,Cartões
Cartões Geral e CID FGTS,Cartões Geral e CID FGTS
Cartões ultra.,Cartões ultra.
Cartões.,Cartões.
Cercred,Cercred
Cid/ste/comercial,Cid/ste/comercial
Cidadao,Cidadao
Cidadão,Cidadão
Cidadão e Cartões,Cidadão e Cartões
Cidadão/Cartão,Cidadão/Cartão
Com comercial clientes,Com comercial clientes
Comercial,Comercial
Comercial.,Comercial.
Comercial/ Cidadão,Comercial/ Cidadão
Contrato Habitacional,Contrato Habitacional
Contrato Habitação,Contrato Habitação
Contratos Habitacionais,Contratos Habitacionais
Douglas Henrique Candia Miranda,Douglas Henrique Candia Miranda
ESPECIALIZADO,ESPECIALIZADO
Equipe de Tratamento,Equipe de Tratamento
Equipe de tratamento,Equipe de tratamento
Especializado,Especializado
HABITAÇÃO,HABITAÇÃO
HMC,HMC
Habitação,Habitação
Habitação (HMC),Habitação (HMC)
Habitação Interno Caixa,Habitação Interno Caixa
Habitação na Mão do Cliente (HMC),Habitação na Mão do Cliente (HMC)
INTERNO,INTERNO
Interno,Interno
Interno - Especializado,Interno - Especializado
Lotericos,Lotericos
Lotéricos,Lotéricos
Monitora de qualidade,Monitora de qualidade
Monitoria,Monitoria
Monitoria de Qualidade,Monitoria de Qualidade
Monitoria de qualidade,Monitoria de qualidade
MultiSkill,MultiSkill
Multiskill,Multiskill
OPERADOR,OPERADOR
OPERAÇÃO,OPERAÇÃO
Operacional,Operacional
Operador WEB,Operador WEB
Operador de atendimento,Operador de Teleatendimento
Operação,Operação
Operações,Operações
Ouvidoria,Ouvidoria
Procon/retaguarda,Procon/retaguarda
Qualidade,Qualidade
Retaguarda,Retaguarda
SAC,SAC
SAC - Cartão - STE,SAC - Cartão - STE
SAC CAIXA,SAC CAIXA
SAC Caixa,SAC Caixa
SAC GERAL,SAC GERAL
SAC GERAL   STE,SAC GERAL   STE
SAC GERAL.,SAC GERAL.
SAC Geral,SAC Geral
SAC/CARTÃO,SAC/CARTÃO
STE,STE
STE/CIDADÃO,STE/CIDADÃO
Sac,Sac
Sac Geral,Sac Geral
Sac geral,Sac geral
Sac/ cartão de crédito/ com _renegociação / com_comercial / comercial / reforma casa brasil / ste todos,Sac/ cartão de crédito/ com _renegociação / com_comercial / comercial / reforma casa brasil / ste todos
Segmento Cidadão,Segmento Cidadão
Segmento cidadão,Segmento cidadão
Setor Atendimento Interno Caixa,Setor Atendimento Interno Caixa
Setor de tele-antendimento  (habitação),Operador de Teleatendimento
Ste,Ste
Ste extenção em cartãoes,Ste extenção em cartãoes
Suporte tecnico,Suporte tecnico
TI,TI
TREINAMENTO,TREINAMENTO
Ti,Ti
Trafego,Trafego
Treinamento,Treinamento
Treinamento.,Treinamento.
Tráfego,Tráfego
WC-SAC,WC-SAC
WEB,WEB
WEB CHAT,WEB CHAT
Web,Web
Web Chat,Web Chat
Webchat,Webchat
atendimento,Operador de Teleatendimento
atendimento SAC,Operador de Teleatendimento
atendimento telefonico,Operador de Teleatendimento
call center,call center
cartao,cartao
cartoes,cartoes
cartoes e ste,cartoes e ste
cartão,cartão
cartão de credito,cartão de credito
cartão de crédito,cartão de crédito
cartão geral,cartão geral
cartão geral e cidadão.,cartão geral e cidadão.
cartão/cidadão/lotéricos / ste,cartão/cidadão/lotéricos / ste
cartões,cartões
cartões ultra,cartões ultra
cercred,cercred
"cercred ,operação","cercred ,operação"
cidadao,cidadao
cidadão,cidadão
codadão,codadão
comercial,comercial
contrato habitacional,contrato habitacional
especializado,especializado
fgts,fgts
flanciane horanna,flanciane horanna
habitaçao,habitaçao
habitação,habitação
hmc,hmc
operação,operação
ouvidoria,ouvidoria
p.a,p.a
sac,sac
sac caixa,sac caixa
sac geral,sac geral
saq geral,saq geral
saque geral,saque geral
ste,ste
ste/ cartões/cidadão e lotéricos,ste/ cartões/cidadão e lotéricos
ste/cidadão,ste/cidadão
ste/cidadão/lotéricos/ cartões,ste/cidadão/lotéricos/ cartões
suporte tecnologico,suporte tecnologico
teleatendimento,Operador de Teleatendimento
ti,ti
todos,todos
web,web
web chat,web chat
